Step,ft_sac_PickCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_500000steps_WEAKDAMPED_force075_damping15_finetune - eval/success_once,ft_sac_PickCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_500000steps_WEAKDAMPED_force075_damping15_finetune - eval/success_once__MIN,ft_sac_PickCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_500000steps_WEAKDAMPED_force075_damping15_finetune - eval/success_once__MAX,sac_PickCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_500000steps_WEAKDAMPED_force075_damping15_fromscratch - eval/success_once,sac_PickCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_500000steps_WEAKDAMPED_force075_damping15_fromscratch - eval/success_once__MIN,sac_PickCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_500000steps_WEAKDAMPED_force075_damping15_fromscratch - eval/success_once__MAX,sac_PickCube_v1_dampedpanda_pd_joint_delta_pos_seed1_500000steps_DAMPED_damping15_fromscratch - eval/success_once,sac_PickCube_v1_dampedpanda_pd_joint_delta_pos_seed1_500000steps_DAMPED_damping15_fromscratch - eval/success_once__MIN,sac_PickCube_v1_dampedpanda_pd_joint_delta_pos_seed1_500000steps_DAMPED_damping15_fromscratch - eval/success_once__MAX,ft_sac_PickCube_v1_weakpanda_pd_joint_delta_pos_seed1_500000steps_WEAKGRIPPER_force075_finetune - eval/success_once,ft_sac_PickCube_v1_weakpanda_pd_joint_delta_pos_seed1_500000steps_WEAKGRIPPER_force075_finetune - eval/success_once__MIN,ft_sac_PickCube_v1_weakpanda_pd_joint_delta_pos_seed1_500000steps_WEAKGRIPPER_force075_finetune - eval/success_once__MAX,ft_sac_PickCube_v1_dampedpanda_pd_joint_delta_pos_seed1_500000steps_DAMPED_damping15_finetune - eval/success_once,ft_sac_PickCube_v1_dampedpanda_pd_joint_delta_pos_seed1_500000steps_DAMPED_damping15_finetune - eval/success_once__MIN,ft_sac_PickCube_v1_dampedpanda_pd_joint_delta_pos_seed1_500000steps_DAMPED_damping15_finetune - eval/success_once__MAX,sac_PickCube_v1_weakpanda_pd_joint_delta_pos_seed1_500000steps_WEAKGRIPPER_force075_fromscratch - eval/success_once,sac_PickCube_v1_weakpanda_pd_joint_delta_pos_seed1_500000steps_WEAKGRIPPER_force075_fromscratch - eval/success_once__MIN,sac_PickCube_v1_weakpanda_pd_joint_delta_pos_seed1_500000steps_WEAKGRIPPER_force075_fromscratch - eval/success_once__MAX,sac_PickCube_v1_panda_pd_joint_delta_pos_seed1_500000steps - eval/success_once,sac_PickCube_v1_panda_pd_joint_delta_pos_seed1_500000steps - eval/success_once__MIN,sac_PickCube_v1_panda_pd_joint_delta_pos_seed1_500000steps - eval/success_once__MAX
0,1,1,1,0,0,0,0,0,0,0.9375,0.9375,0.9375,1,1,1,0,0,0,0,0,0
50048,0,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0,0,0,0,0,0,0,0,0
100032,0.8125,0.8125,0.8125,0.0625,0.0625,0.0625,0,0,0,0.9375,0.9375,0.9375,0.8125,0.8125,0.8125,0,0,0,0,0,0
150016,0.9375,0.9375,0.9375,0.125,0.125,0.125,0.3125,0.3125,0.3125,0.9375,0.9375,0.9375,0.6875,0.6875,0.6875,0.8125,0.8125,0.8125,0.0625,0.0625,0.0625
200000,1,1,1,0.3125,0.3125,0.3125,0.8125,0.8125,0.8125,1,1,1,1,1,1,0.9375,0.9375,0.9375,1,1,1
250048,1,1,1,0.9375,0.9375,0.9375,1,1,1,1,1,1,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1,1,1
300032,0.9375,0.9375,0.9375,1,1,1,0.875,0.875,0.875,1,1,1,1,1,1,1,1,1,0.8125,0.8125,0.8125
350016,0.9375,0.9375,0.9375,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.9375,0.9375,0.9375
400000,1,1,1,0.875,0.875,0.875,1,1,1,1,1,1,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,1,1,1
450048,1,1,1,1,1,1,1,1,1,0.9375,0.9375,0.9375,1,1,1,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375
