Step,ft_sac_StackCube_v1_dampedpanda_pd_joint_delta_pos_seed1_1000000steps_DAMPED_damping15_finetune - eval/success_once,ft_sac_StackCube_v1_dampedpanda_pd_joint_delta_pos_seed1_1000000steps_DAMPED_damping15_finetune - eval/success_once__MIN,ft_sac_StackCube_v1_dampedpanda_pd_joint_delta_pos_seed1_1000000steps_DAMPED_damping15_finetune - eval/success_once__MAX,ft_sac_StackCube_v1_weakpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKGRIPPER_force075_finetune - eval/success_once,ft_sac_StackCube_v1_weakpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKGRIPPER_force075_finetune - eval/success_once__MIN,ft_sac_StackCube_v1_weakpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKGRIPPER_force075_finetune - eval/success_once__MAX,sac_StackCube_v1_dampedpanda_pd_joint_delta_pos_seed1_1000000steps_DAMPED_damping15_fromscratch - eval/success_once,sac_StackCube_v1_dampedpanda_pd_joint_delta_pos_seed1_1000000steps_DAMPED_damping15_fromscratch - eval/success_once__MIN,sac_StackCube_v1_dampedpanda_pd_joint_delta_pos_seed1_1000000steps_DAMPED_damping15_fromscratch - eval/success_once__MAX,sac_StackCube_v1_weakpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKGRIPPER_force075_fromscratch - eval/success_once,sac_StackCube_v1_weakpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKGRIPPER_force075_fromscratch - eval/success_once__MIN,sac_StackCube_v1_weakpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKGRIPPER_force075_fromscratch - eval/success_once__MAX,ft_sac_StackCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKDAMPED_force075_damping15_finetune - eval/success_once,ft_sac_StackCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKDAMPED_force075_damping15_finetune - eval/success_once__MIN,ft_sac_StackCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKDAMPED_force075_damping15_finetune - eval/success_once__MAX,sac_StackCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKDAMPED_force075_damping15_fromscratch - eval/success_once,sac_StackCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKDAMPED_force075_damping15_fromscratch - eval/success_once__MIN,sac_StackCube_v1_weakdampedpanda_pd_joint_delta_pos_seed1_1000000steps_WEAKDAMPED_force075_damping15_fromscratch - eval/success_once__MAX,sac_StackCube_v1_panda_pd_joint_delta_pos_seed1_1000000steps - eval/success_once,sac_StackCube_v1_panda_pd_joint_delta_pos_seed1_1000000steps - eval/success_once__MIN,sac_StackCube_v1_panda_pd_joint_delta_pos_seed1_1000000steps - eval/success_once__MAX
0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0.25,0.25,0.25,0,0,0,0,0,0
50048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200000,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0,0,0,0,0,0
250048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350016,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.0625,0.0625,0,0,0,0,0,0
400000,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0.125,0.125,0,0,0,0,0,0
450048,0,0,0,0.0625,0.0625,0.0625,0,0,0,0,0,0,0.0625,0.0625,0.0625,0,0,0,0,0,0
500032,0.0625,0.0625,0.0625,0.25,0.25,0.25,0,0,0,0,0,0,0.125,0.125,0.125,0.0625,0.0625,0.0625,0,0,0
550016,0,0,0,0.5,0.5,0.5,0.4375,0.4375,0.4375,0.0625,0.0625,0.0625,0.3125,0.3125,0.3125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
600000,0.0625,0.0625,0.0625,0.6875,0.6875,0.6875,0.8125,0.8125,0.8125,0.25,0.25,0.25,0.75,0.75,0.75,0.5625,0.5625,0.5625,0.25,0.25,0.25
650048,0.0625,0.0625,0.0625,0.8125,0.8125,0.8125,0.625,0.625,0.625,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.1875,0.1875,0.1875
700032,0.1875,0.1875,0.1875,0.75,0.75,0.75,0.6875,0.6875,0.6875,0.5625,0.5625,0.5625,0.625,0.625,0.625,0.8125,0.8125,0.8125,0.375,0.375,0.375
750016,0.1875,0.1875,0.1875,1,1,1,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.4375,0.4375,0.4375
800000,0,0,0,0.9375,0.9375,0.9375,0.75,0.75,0.75,0.75,0.75,0.75,0.875,0.875,0.875,0.9375,0.9375,0.9375,0.75,0.75,0.75
850048,0.125,0.125,0.125,0.8125,0.8125,0.8125,0.875,0.875,0.875,0.5625,0.5625,0.5625,0.8125,0.8125,0.8125,1,1,1,0.75,0.75,0.75
900032,0.3125,0.3125,0.3125,0.875,0.875,0.875,0.875,0.875,0.875,0.75,0.75,0.75,0.9375,0.9375,0.9375,0.875,0.875,0.875,0.4375,0.4375,0.4375
